Filename,Max Value,Min Value
Ca_raw.pkl,0.2647255241921559,0.0
Ti_raw.pkl,0.08758126796775524,0.0
Cr_raw.pkl,0.08856144892021707,0.0
Mn_raw.pkl,0.09414776612217818,0.0
Fe_raw.pkl,0.08043974252423075,0.0
Mg_raw.pkl,0.29529063081771234,0.0
Al_raw.pkl,0.41295348815769756,0.0
Ca.pkl,0.2442596748447443,0.12322428987258434
Ca_uncertainty.pkl,0.05477984075097953,0.0018017591156070443
Al.pkl,0.35558225002925553,0.11659955386780915
Al_uncertainty.pkl,0.061696529223459896,0.000949113063937173
Mg.pkl,0.2742365948284875,0.12977448843495085
Mg_uncertainty.pkl,0.03827995316920689,0.0005461567644980947
Fe.pkl,0.06106655112828176,0.005644939042880512
Fe_uncertainty.pkl,0.015003911595064033,7.05678345126986e-05
Mn.pkl,0.07544194300657128,0.0038710182104368007
Mn_uncertainty.pkl,0.021162989625938346,0.0
Cr.pkl,0.06763779309086691,0.005614511592485596
Cr_uncertainty.pkl,0.018386785336115482,0.0
Ti.pkl,0.06203218767581656,0.003423939093859236
Ti_uncertainty.pkl,0.02295891346624369,6.657232294251283e-05
